	 -0.00	-50.00	  1.50
	  1.74	-49.97	  1.50
	  3.49	-49.88	  1.50
	  5.23	-49.73	  1.50
	  6.96	-49.51	  1.50
	  8.68	-49.24	  1.50
	 10.40	-48.91	  1.50
	 12.10	-48.51	  1.50
	 13.78	-48.06	  1.50
	 15.45	-47.55	  1.50
	 17.10	-46.98	  1.50
	 18.73	-46.36	  1.50
	 20.34	-45.68	  1.50
	 21.92	-44.94	  1.50
	 23.47	-44.15	  1.50
	 25.00	-43.30	  1.50
	 26.50	-42.40	  1.50
	 27.96	-41.45	  1.50
	 29.39	-40.45	  1.50
	 30.78	-39.40	  1.50
	 32.14	-38.30	  1.50
	 33.46	-37.16	  1.50
	 34.73	-35.97	  1.50
	 35.97	-34.73	  1.50
	 37.16	-33.46	  1.50
	 38.30	-32.14	  1.50
	 39.40	-30.78	  1.50
	 40.45	-29.39	  1.50
	 41.45	-27.96	  1.50
	 42.40	-26.50	  1.50
	 43.30	-25.00	  1.50
	 44.15	-23.47	  1.50
	 44.94	-21.92	  1.50
	 45.68	-20.34	  1.50
	 46.36	-18.73	  1.50
	 46.98	-17.10	  1.50
	 47.55	-15.45	  1.50
	 48.06	-13.78	  1.50
	 48.51	-12.10	  1.50
	 48.91	-10.40	  1.50
	 49.24	 -8.68	  1.50
	 49.51	 -6.96	  1.50
	 49.73	 -5.23	  1.50
	 49.88	 -3.49	  1.50
	 49.97	 -1.74	  1.50
	 50.00	 -0.00	  1.50
	 49.97	  1.74	  1.50
	 49.88	  3.49	  1.50
	 49.73	  5.23	  1.50
	 49.51	  6.96	  1.50
	 49.24	  8.68	  1.50
	 48.91	 10.40	  1.50
	 48.51	 12.10	  1.50
	 48.06	 13.78	  1.50
	 47.55	 15.45	  1.50
	 46.98	 17.10	  1.50
	 46.36	 18.73	  1.50
	 45.68	 20.34	  1.50
	 44.94	 21.92	  1.50
	 44.15	 23.47	  1.50
	 43.30	 25.00	  1.50
	 42.40	 26.50	  1.50
	 41.45	 27.96	  1.50
	 40.45	 29.39	  1.50
	 39.40	 30.78	  1.50
	 38.30	 32.14	  1.50
	 37.16	 33.46	  1.50
	 35.97	 34.73	  1.50
	 34.73	 35.97	  1.50
	 33.46	 37.16	  1.50
	 32.14	 38.30	  1.50
	 30.78	 39.40	  1.50
	 29.39	 40.45	  1.50
	 27.96	 41.45	  1.50
	 26.50	 42.40	  1.50
	 25.00	 43.30	  1.50
	 23.47	 44.15	  1.50
