1	 2.44178
2	 2.39705
3	 2.63363
4	 2.49778
5	 2.65661
6	 2.24403
7	 2.41334
8	 2.40461
9	 2.50721
10	 2.50781
11	 2.40442
12	 2.37934
13	 2.33916
14	 2.39737
15	 2.27069
16	 2.41078
17	 2.39167
18	 2.46862
19	 2.3932
20	 2.3026
21	 2.55408
22	 2.41592
23	 2.46124
24	 2.50361
25	 2.45807
26	 2.39408
27	 2.40387
28	 2.58072
29	 2.3465
30	 2.39182
31	 2.38166
32	 2.38638
33	 2.51733
34	 2.44287
35	 2.5163
36	 2.48171
37	 2.44952
38	 2.47326
39	 2.41722
40	 2.42621
41	 2.52407
42	 2.56637
43	 2.34022
44	 2.31157
45	 2.43331
46	 2.36798
47	 2.38213
48	 2.48813
49	 2.48288
50	 2.58136
51	 2.49887
52	 2.482
53	 2.41612
54	 2.30166
55	 2.45202
56	 2.44047
57	 2.38355
58	 2.38596
59	 2.42569
60	 2.52172
61	 2.38303
62	 2.44688
63	 2.47314
64	 2.33194
65	 2.4341
66	 2.34025
67	 2.37808
68	 2.56753
69	 2.51367
70	 2.56873
71	 2.38189
72	 2.53506
73	 2.41639
74	 2.36772
75	 2.4132
76	 2.44785
77	 2.49786
78	 2.36875
79	 2.37757
80	 2.40038
81	 2.43293
82	 2.36865
83	 2.47693
84	 2.41884
85	 2.46597
86	 2.4629
87	 2.41781
88	 2.36576
89	 2.49561
90	 2.46244
91	 2.39625
92	 2.47801
93	 2.36787
94	 2.53065
95	 2.43965
96	 2.49453
97	 2.40426
98	 2.51938
99	 2.49864
100	 2.57089
